date,amount,transaction_type,revenue,expenses,flag,reason,severity,flagged,prev_amount,prev_date,time_diff
2025-03-13,1673.68,Transfer,0.0,1673.68,0,Legitimate Transaction,Low,0,1694.65,2025-01-21,1224.0
2025-01-09,2266.35,Bill Payment,2266.35,0.0,0,Legitimate Transaction,Low,0,1673.68,2025-03-13,-1512.0
2025-01-13,731.88,Cash Withdrawal,0.0,731.88,0,Legitimate Transaction,Low,0,2266.35,2025-01-09,96.0
2025-02-21,84.98,Bill Payment,84.98,0.0,0,Legitimate Transaction,Low,0,731.88,2025-01-13,936.0
2025-02-20,1321.21,Cash Withdrawal,1321.21,0.0,0,Legitimate Transaction,Low,0,84.98,2025-02-21,-24.0
2025-03-25,3238.68,Transfer,3238.68,0.0,0,Legitimate Transaction,Low,0,1321.21,2025-02-20,792.0
2025-01-13,2481.72,Transfer,0.0,2481.72,0,Legitimate Transaction,Low,0,3238.68,2025-03-25,-1704.0
2025-01-28,64.68,POS Purchase,64.68,0.0,0,Legitimate Transaction,Low,0,2481.72,2025-01-13,360.0
2025-01-15,4238.59,Transfer,0.0,4238.59,0,Legitimate Transaction,Low,0,64.68,2025-01-28,-312.0
2025-01-19,592.44,Cash Withdrawal,0.0,592.44,0,Legitimate Transaction,Low,1,4238.59,2025-01-15,96.0
2025-02-19,3981.74,POS Purchase,0.0,3981.74,0,Legitimate Transaction,Low,0,592.44,2025-01-19,744.0
2025-02-22,3153.43,POS Purchase,3153.43,0.0,0,Legitimate Transaction,Low,1,3981.74,2025-02-19,72.0
2025-02-08,59.29,Cash Withdrawal,0.0,59.29,0,Legitimate Transaction,Low,1,3153.43,2025-02-22,-336.0
2025-02-06,2205.58,Bill Payment,0.0,2205.58,0,Legitimate Transaction,Low,0,59.29,2025-02-08,-48.0
2025-01-27,737.46,Bill Payment,737.46,0.0,0,Legitimate Transaction,Low,0,2205.58,2025-02-06,-240.0
2025-01-20,2966.18,Transfer,2966.18,0.0,0,Legitimate Transaction,Low,0,737.46,2025-01-27,-168.0
2025-03-13,1174.19,Transfer,1174.19,0.0,0,Legitimate Transaction,Low,0,2966.18,2025-01-20,1248.0
2025-03-17,1083.41,Online Purchase,1083.41,0.0,0,Legitimate Transaction,Low,0,1174.19,2025-03-13,96.0
2025-01-28,960.07,Cash Withdrawal,960.07,0.0,0,Legitimate Transaction,Low,0,1083.41,2025-03-17,-1152.0
2025-03-23,1122.75,Online Purchase,0.0,1122.75,0,Legitimate Transaction,Low,1,960.07,2025-01-28,1296.0
2025-02-14,4706.95,Online Purchase,4706.95,0.0,0,Legitimate Transaction,Low,0,1122.75,2025-03-23,-888.0
2025-03-24,972.36,POS Purchase,0.0,972.36,0,Legitimate Transaction,Low,0,4706.95,2025-02-14,912.0
2025-02-01,1278.9,POS Purchase,1278.9,0.0,0,Legitimate Transaction,Low,1,972.36,2025-03-24,-1224.0
2025-01-04,3284.17,Bill Payment,3284.17,0.0,0,Legitimate Transaction,Low,1,1278.9,2025-02-01,-672.0
2025-03-05,2183.38,Bill Payment,0.0,2183.38,0,Legitimate Transaction,Low,0,3284.17,2025-01-04,1440.0
2025-02-06,3602.11,Online Purchase,3602.11,0.0,0,Legitimate Transaction,Low,0,2183.38,2025-03-05,-648.0
2025-03-17,3719.2,Online Purchase,3719.2,0.0,0,Legitimate Transaction,Low,0,3602.11,2025-02-06,936.0
2025-02-23,3324.24,Bill Payment,3324.24,0.0,0,Legitimate Transaction,Low,1,3719.2,2025-03-17,-528.0
2025-03-28,1192.99,Transfer,1192.99,0.0,0,Legitimate Transaction,Low,0,3324.24,2025-02-23,792.0
2025-02-18,2451.44,Transfer,0.0,2451.44,0,Legitimate Transaction,Low,0,1192.99,2025-03-28,-912.0
2025-02-11,1836.41,POS Purchase,0.0,1836.41,0,Legitimate Transaction,Low,0,2451.44,2025-02-18,-168.0
2025-01-17,4936.69,POS Purchase,4936.69,0.0,0,Legitimate Transaction,Low,0,1836.41,2025-02-11,-600.0
2025-02-13,438.47,POS Purchase,438.47,0.0,0,Legitimate Transaction,Low,0,4936.69,2025-01-17,648.0
2025-01-07,772.06,Online Purchase,772.06,0.0,0,Legitimate Transaction,Low,0,438.47,2025-02-13,-888.0
2025-03-10,704.98,Bill Payment,704.98,0.0,0,Legitimate Transaction,Low,0,772.06,2025-01-07,1488.0
2025-03-25,755.48,Bill Payment,0.0,755.48,0,Legitimate Transaction,Low,0,704.98,2025-03-10,360.0
2025-01-19,4708.33,Cash Withdrawal,4708.33,0.0,0,Legitimate Transaction,Low,1,755.48,2025-03-25,-1560.0
2025-02-24,4295.12,Cash Withdrawal,4295.12,0.0,0,Legitimate Transaction,Low,0,4708.33,2025-01-19,864.0
2025-02-16,2599.44,Cash Withdrawal,0.0,2599.44,0,Legitimate Transaction,Low,1,4295.12,2025-02-24,-192.0
2025-02-17,4345.86,POS Purchase,4345.86,0.0,1,Location Mismatch,Low,0,2599.44,2025-02-16,24.0
2025-01-05,3985.45,Cash Withdrawal,0.0,3985.45,0,Legitimate Transaction,Low,1,4345.86,2025-02-17,-1032.0
2025-02-09,2729.37,Bill Payment,2729.37,0.0,0,Legitimate Transaction,Low,1,3985.45,2025-01-05,840.0
2025-02-15,2318.12,Transfer,0.0,2318.12,0,Legitimate Transaction,Low,1,2729.37,2025-02-09,144.0
2025-02-04,3487.42,Transfer,3487.42,0.0,0,Legitimate Transaction,Low,0,2318.12,2025-02-15,-264.0
2025-02-19,2786.64,Online Purchase,0.0,2786.64,0,Legitimate Transaction,Low,0,3487.42,2025-02-04,360.0
2025-02-24,4861.16,POS Purchase,4861.16,0.0,0,Legitimate Transaction,Low,0,2786.64,2025-02-19,120.0
2025-02-23,3464.51,POS Purchase,0.0,3464.51,0,Legitimate Transaction,Low,1,4861.16,2025-02-24,-24.0
2025-01-22,3152.41,Cash Withdrawal,0.0,3152.41,0,Legitimate Transaction,Low,0,3464.51,2025-02-23,-768.0
2025-03-21,1763.77,Online Purchase,0.0,1763.77,0,Legitimate Transaction,Low,0,3152.41,2025-01-22,1392.0
2025-02-18,2427.57,Online Purchase,2427.57,0.0,0,Legitimate Transaction,Low,0,1763.77,2025-03-21,-744.0
2025-02-10,583.69,Cash Withdrawal,0.0,583.69,0,Legitimate Transaction,Low,0,2427.57,2025-02-18,-192.0
2025-02-02,1450.39,Cash Withdrawal,1450.39,0.0,0,Legitimate Transaction,Low,1,583.69,2025-02-10,-192.0
2025-01-10,3636.42,POS Purchase,3636.42,0.0,0,Legitimate Transaction,Low,0,1450.39,2025-02-02,-552.0
2025-01-24,3896.89,Cash Withdrawal,0.0,3896.89,1,Unusual Spending,High,0,3636.42,2025-01-10,336.0
2025-02-04,2130.57,Transfer,0.0,2130.57,0,Legitimate Transaction,Low,0,3896.89,2025-01-24,264.0
2025-02-28,3679.08,Online Purchase,3679.08,0.0,0,Legitimate Transaction,Low,0,2130.57,2025-02-04,576.0
2025-01-05,1950.77,Online Purchase,1950.77,0.0,0,Legitimate Transaction,Low,1,3679.08,2025-02-28,-1296.0
2025-01-21,3341.27,Transfer,3341.27,0.0,0,Legitimate Transaction,Low,0,1950.77,2025-01-05,384.0
2025-01-07,4085.13,Bill Payment,0.0,4085.13,0,Legitimate Transaction,Low,0,3341.27,2025-01-21,-336.0
2025-02-01,128.86,POS Purchase,128.86,0.0,0,Legitimate Transaction,Low,1,4085.13,2025-01-07,600.0
2025-02-23,1995.35,Bill Payment,0.0,1995.35,0,Legitimate Transaction,Low,1,128.86,2025-02-01,528.0
2025-03-05,3810.54,Cash Withdrawal,0.0,3810.54,0,Legitimate Transaction,Low,0,1995.35,2025-02-23,240.0
2025-02-18,2692.58,Bill Payment,2692.58,0.0,0,Legitimate Transaction,Low,0,3810.54,2025-03-05,-360.0
2025-01-19,3044.64,POS Purchase,0.0,3044.64,0,Legitimate Transaction,Low,1,2692.58,2025-02-18,-720.0
2025-01-27,479.2,Transfer,0.0,479.2,0,Legitimate Transaction,Low,0,3044.64,2025-01-19,192.0
2025-03-11,987.86,Bill Payment,0.0,987.86,0,Legitimate Transaction,Low,0,479.2,2025-01-27,1032.0
2025-02-11,4314.97,Bill Payment,0.0,4314.97,1,Unusual Spending,Low,0,987.86,2025-03-11,-672.0
2025-01-31,4414.49,POS Purchase,4414.49,0.0,0,Legitimate Transaction,Low,0,4314.97,2025-02-11,-264.0
2025-02-02,676.2,Transfer,676.2,0.0,1,Multiple Transactions,Low,1,4414.49,2025-01-31,48.0
2025-02-04,442.22,Transfer,442.22,0.0,0,Legitimate Transaction,Low,0,676.2,2025-02-02,48.0
2025-02-08,2292.21,Transfer,0.0,2292.21,0,Legitimate Transaction,Low,1,442.22,2025-02-04,96.0
2025-02-16,1840.33,Bill Payment,0.0,1840.33,0,Legitimate Transaction,Low,1,2292.21,2025-02-08,192.0
2025-02-14,753.66,POS Purchase,0.0,753.66,0,Legitimate Transaction,Low,0,1840.33,2025-02-16,-48.0
2025-01-03,1242.51,POS Purchase,0.0,1242.51,0,Legitimate Transaction,Low,0,753.66,2025-02-14,-1008.0
2025-02-09,35.72,Cash Withdrawal,35.72,0.0,0,Legitimate Transaction,Low,1,1242.51,2025-01-03,888.0
2025-01-06,4979.69,POS Purchase,0.0,4979.69,0,Legitimate Transaction,Low,0,35.72,2025-02-09,-816.0
2025-02-19,109.02,Transfer,0.0,109.02,0,Legitimate Transaction,Low,0,4979.69,2025-01-06,1056.0
2025-01-27,762.4,Bill Payment,0.0,762.4,0,Legitimate Transaction,Low,0,109.02,2025-02-19,-552.0
2025-02-05,1310.67,Cash Withdrawal,1310.67,0.0,0,Legitimate Transaction,Low,0,762.4,2025-01-27,216.0
2025-02-22,1866.68,Online Purchase,1866.68,0.0,0,Legitimate Transaction,Low,1,1310.67,2025-02-05,408.0
2025-01-28,3417.79,POS Purchase,3417.79,0.0,0,Legitimate Transaction,Low,0,1866.68,2025-02-22,-600.0
2025-02-22,2630.17,Cash Withdrawal,0.0,2630.17,0,Legitimate Transaction,Low,1,3417.79,2025-01-28,600.0
2025-01-13,3899.85,Transfer,3899.85,0.0,0,Legitimate Transaction,Low,0,2630.17,2025-02-22,-960.0
2025-02-20,1905.05,Bill Payment,1905.05,0.0,0,Legitimate Transaction,Low,0,3899.85,2025-01-13,912.0
2025-03-07,3978.79,Bill Payment,0.0,3978.79,0,Legitimate Transaction,Low,0,1905.05,2025-02-20,360.0
2025-02-03,1989.31,POS Purchase,0.0,1989.31,0,Legitimate Transaction,Low,0,3978.79,2025-03-07,-768.0
2025-03-06,1752.72,Bill Payment,0.0,1752.72,0,Legitimate Transaction,Low,0,1989.31,2025-02-03,744.0
2025-01-02,1665.84,POS Purchase,1665.84,0.0,0,Legitimate Transaction,Low,0,1752.72,2025-03-06,-1512.0
2025-02-16,574.1,Cash Withdrawal,574.1,0.0,0,Legitimate Transaction,Low,1,1665.84,2025-01-02,1080.0
2025-01-28,3525.87,Cash Withdrawal,0.0,3525.87,0,Legitimate Transaction,Low,0,574.1,2025-02-16,-456.0
2025-03-13,4317.09,Online Purchase,0.0,4317.09,0,Legitimate Transaction,Low,0,3525.87,2025-01-28,1056.0
2025-03-27,2443.37,Online Purchase,2443.37,0.0,0,Legitimate Transaction,Low,0,4317.09,2025-03-13,336.0
2025-03-11,2954.85,POS Purchase,2954.85,0.0,0,Legitimate Transaction,Low,0,2443.37,2025-03-27,-384.0
2025-02-17,2262.58,Online Purchase,0.0,2262.58,0,Legitimate Transaction,Low,0,2954.85,2025-03-11,-528.0
2025-01-25,4387.47,POS Purchase,4387.47,0.0,0,Legitimate Transaction,Low,1,2262.58,2025-02-17,-552.0
2025-03-21,1254.84,Online Purchase,1254.84,0.0,1,Unusual Spending,Low,0,4387.47,2025-01-25,1320.0
2025-03-24,2535.29,Transfer,2535.29,0.0,0,Legitimate Transaction,Low,0,1254.84,2025-03-21,72.0
2025-03-04,3533.77,Online Purchase,0.0,3533.77,0,Legitimate Transaction,Low,0,2535.29,2025-03-24,-480.0
2025-03-28,1107.02,Transfer,0.0,1107.02,0,Legitimate Transaction,Low,0,3533.77,2025-03-04,576.0
2025-01-19,4109.28,Bill Payment,0.0,4109.28,0,Legitimate Transaction,Low,1,1107.02,2025-03-28,-1632.0
2025-03-26,2057.91,Cash Withdrawal,2057.91,0.0,0,Legitimate Transaction,Low,0,4109.28,2025-01-19,1584.0
2025-01-24,816.46,Bill Payment,816.46,0.0,0,Legitimate Transaction,Low,0,2057.91,2025-03-26,-1464.0
2025-03-08,1691.09,Bill Payment,1691.09,0.0,0,Legitimate Transaction,Low,1,816.46,2025-01-24,1032.0
2025-01-04,2527.28,POS Purchase,0.0,2527.28,0,Legitimate Transaction,Low,1,1691.09,2025-03-08,-1512.0
2025-03-28,3956.72,Cash Withdrawal,0.0,3956.72,0,Legitimate Transaction,Low,0,2527.28,2025-01-04,1992.0
2025-02-08,1262.15,Bill Payment,0.0,1262.15,0,Legitimate Transaction,Low,1,3956.72,2025-03-28,-1152.0
2025-03-28,3678.72,Bill Payment,3678.72,0.0,0,Legitimate Transaction,Low,0,1262.15,2025-02-08,1152.0
2025-01-21,2024.24,Online Purchase,2024.24,0.0,0,Legitimate Transaction,Low,0,3678.72,2025-03-28,-1584.0
2025-03-14,463.13,POS Purchase,463.13,0.0,0,Legitimate Transaction,Low,0,2024.24,2025-01-21,1248.0
2025-02-10,729.24,Online Purchase,0.0,729.24,0,Legitimate Transaction,Low,0,463.13,2025-03-14,-768.0
2025-01-05,4603.93,Online Purchase,0.0,4603.93,0,Legitimate Transaction,Low,1,729.24,2025-02-10,-864.0
2025-01-21,2443.89,Cash Withdrawal,2443.89,0.0,0,Legitimate Transaction,Low,0,4603.93,2025-01-05,384.0
2025-01-14,2597.75,POS Purchase,2597.75,0.0,0,Legitimate Transaction,Low,0,2443.89,2025-01-21,-168.0
2025-03-07,423.78,Cash Withdrawal,423.78,0.0,0,Legitimate Transaction,Low,0,2597.75,2025-01-14,1248.0
2025-03-06,1414.26,POS Purchase,0.0,1414.26,0,Legitimate Transaction,Low,0,423.78,2025-03-07,-24.0
2025-02-14,4213.95,Online Purchase,0.0,4213.95,0,Legitimate Transaction,Low,0,1414.26,2025-03-06,-480.0
2025-01-08,870.56,Bill Payment,0.0,870.56,0,Legitimate Transaction,Low,0,4213.95,2025-02-14,-888.0
2025-01-21,2576.42,Online Purchase,2576.42,0.0,0,Legitimate Transaction,Low,0,870.56,2025-01-08,312.0
2025-03-25,259.68,Transfer,259.68,0.0,0,Legitimate Transaction,Low,0,2576.42,2025-01-21,1512.0
2025-01-02,3172.99,Transfer,3172.99,0.0,0,Legitimate Transaction,Low,0,259.68,2025-03-25,-1968.0
2025-01-03,3758.69,Cash Withdrawal,0.0,3758.69,0,Legitimate Transaction,Low,0,3172.99,2025-01-02,24.0
2025-01-20,2901.41,POS Purchase,2901.41,0.0,0,Legitimate Transaction,Low,0,3758.69,2025-01-03,408.0
2025-02-25,4623.64,Online Purchase,0.0,4623.64,0,Legitimate Transaction,Low,0,2901.41,2025-01-20,864.0
2025-01-08,2858.93,Transfer,2858.93,0.0,0,Legitimate Transaction,Low,0,4623.64,2025-02-25,-1152.0
2025-01-24,2624.98,Cash Withdrawal,0.0,2624.98,0,Legitimate Transaction,Low,0,2858.93,2025-01-08,384.0
2025-03-03,4577.21,Cash Withdrawal,0.0,4577.21,0,Legitimate Transaction,Low,0,2624.98,2025-01-24,912.0
2025-02-20,556.29,Bill Payment,0.0,556.29,0,Legitimate Transaction,Low,0,4577.21,2025-03-03,-264.0
2025-03-24,4232.0,Bill Payment,0.0,4232.0,0,Legitimate Transaction,Low,0,556.29,2025-02-20,768.0
2025-02-24,3429.39,Online Purchase,0.0,3429.39,0,Legitimate Transaction,Low,0,4232.0,2025-03-24,-672.0
2025-02-27,3515.36,Cash Withdrawal,0.0,3515.36,0,Legitimate Transaction,Low,0,3429.39,2025-02-24,72.0
2025-03-02,1807.65,Cash Withdrawal,0.0,1807.65,0,Legitimate Transaction,Low,1,3515.36,2025-02-27,72.0
2025-03-14,1739.96,Bill Payment,1739.96,0.0,1,High-Risk Merchant,High,0,1807.65,2025-03-02,288.0
2025-03-07,2389.37,POS Purchase,2389.37,0.0,0,Legitimate Transaction,Low,0,1739.96,2025-03-14,-168.0
2025-03-01,3031.73,Cash Withdrawal,3031.73,0.0,0,Legitimate Transaction,Low,1,2389.37,2025-03-07,-144.0
2025-03-18,4369.44,Bill Payment,0.0,4369.44,0,Legitimate Transaction,Low,0,3031.73,2025-03-01,408.0
2025-03-13,2686.91,Transfer,0.0,2686.91,0,Legitimate Transaction,Low,0,4369.44,2025-03-18,-120.0
2025-03-30,3773.66,Online Purchase,0.0,3773.66,0,Legitimate Transaction,Low,1,2686.91,2025-03-13,408.0
2025-03-27,614.81,Cash Withdrawal,614.81,0.0,0,Legitimate Transaction,Low,0,3773.66,2025-03-30,-72.0
2025-03-22,3982.27,Cash Withdrawal,0.0,3982.27,0,Legitimate Transaction,Low,1,614.81,2025-03-27,-120.0
2025-03-25,618.6,Cash Withdrawal,618.6,0.0,0,Legitimate Transaction,Low,0,3982.27,2025-03-22,72.0
2025-01-15,4358.85,Cash Withdrawal,0.0,4358.85,0,Legitimate Transaction,Low,0,618.6,2025-03-25,-1656.0
2025-01-16,3675.63,Cash Withdrawal,3675.63,0.0,0,Legitimate Transaction,Low,0,4358.85,2025-01-15,24.0
2025-02-07,1164.57,Cash Withdrawal,1164.57,0.0,0,Legitimate Transaction,Low,0,3675.63,2025-01-16,528.0
2025-02-06,4520.99,POS Purchase,0.0,4520.99,0,Legitimate Transaction,Low,0,1164.57,2025-02-07,-24.0
2025-03-21,843.84,Bill Payment,0.0,843.84,0,Legitimate Transaction,Low,0,4520.99,2025-02-06,1032.0
2025-03-18,678.35,POS Purchase,678.35,0.0,0,Legitimate Transaction,Low,0,843.84,2025-03-21,-72.0
2025-03-12,3972.3,Online Purchase,0.0,3972.3,0,Legitimate Transaction,Low,0,678.35,2025-03-18,-144.0
2025-02-16,999.22,POS Purchase,0.0,999.22,0,Legitimate Transaction,Low,1,3972.3,2025-03-12,-576.0
2025-02-20,1675.21,Cash Withdrawal,0.0,1675.21,0,Legitimate Transaction,Low,0,999.22,2025-02-16,96.0
2025-01-17,2420.39,Cash Withdrawal,2420.39,0.0,0,Legitimate Transaction,Low,0,1675.21,2025-02-20,-816.0
2025-02-20,4193.1,Cash Withdrawal,4193.1,0.0,0,Legitimate Transaction,Low,0,2420.39,2025-01-17,816.0
2025-02-23,3716.62,Online Purchase,0.0,3716.62,0,Legitimate Transaction,Low,1,4193.1,2025-02-20,72.0
2025-02-02,4179.77,Bill Payment,4179.77,0.0,0,Legitimate Transaction,Low,1,3716.62,2025-02-23,-504.0
2025-02-07,2984.53,Cash Withdrawal,2984.53,0.0,0,Legitimate Transaction,Low,0,4179.77,2025-02-02,120.0
2025-03-30,3429.0,POS Purchase,0.0,3429.0,0,Legitimate Transaction,Low,1,2984.53,2025-02-07,1224.0
2025-01-22,4940.31,Cash Withdrawal,0.0,4940.31,0,Legitimate Transaction,Low,0,3429.0,2025-03-30,-1608.0
2025-03-28,206.46,Online Purchase,0.0,206.46,0,Legitimate Transaction,Low,0,4940.31,2025-01-22,1560.0
2025-01-12,2698.64,Cash Withdrawal,0.0,2698.64,0,Legitimate Transaction,Low,1,206.46,2025-03-28,-1800.0
2025-02-24,1837.56,POS Purchase,1837.56,0.0,1,High-Risk Merchant,High,0,2698.64,2025-01-12,1032.0
2025-03-20,1642.88,Transfer,1642.88,0.0,0,Legitimate Transaction,Low,0,1837.56,2025-02-24,576.0
2025-02-11,1648.06,Cash Withdrawal,1648.06,0.0,0,Legitimate Transaction,Low,0,1642.88,2025-03-20,-888.0
2025-01-15,2618.93,Transfer,0.0,2618.93,0,Legitimate Transaction,Low,0,1648.06,2025-02-11,-648.0
2025-03-14,3280.76,Transfer,0.0,3280.76,0,Legitimate Transaction,Low,0,2618.93,2025-01-15,1392.0
2025-01-08,1810.89,Online Purchase,1810.89,0.0,0,Legitimate Transaction,Low,0,3280.76,2025-03-14,-1560.0
2025-02-04,4812.98,POS Purchase,4812.98,0.0,0,Legitimate Transaction,Low,0,1810.89,2025-01-08,648.0
2025-01-13,3446.2,Transfer,3446.2,0.0,0,Legitimate Transaction,Low,0,4812.98,2025-02-04,-528.0
2025-01-04,191.28,Transfer,0.0,191.28,0,Legitimate Transaction,Low,1,3446.2,2025-01-13,-216.0
2025-02-02,3441.9,Online Purchase,0.0,3441.9,0,Legitimate Transaction,Low,1,191.28,2025-01-04,696.0
2025-03-08,2791.86,Transfer,0.0,2791.86,0,Legitimate Transaction,Low,1,3441.9,2025-02-02,816.0
2025-01-07,110.85,Bill Payment,110.85,0.0,0,Legitimate Transaction,Low,0,2791.86,2025-03-08,-1440.0
2025-02-21,3595.67,Transfer,0.0,3595.67,0,Legitimate Transaction,Low,0,110.85,2025-01-07,1080.0
2025-03-31,2713.84,Bill Payment,0.0,2713.84,0,Legitimate Transaction,Low,0,3595.67,2025-02-21,912.0
2025-03-14,4818.21,Online Purchase,0.0,4818.21,0,Legitimate Transaction,Low,0,2713.84,2025-03-31,-408.0
2025-01-21,1630.57,Online Purchase,0.0,1630.57,0,Legitimate Transaction,Low,0,4818.21,2025-03-14,-1248.0
2025-02-28,4250.77,Online Purchase,0.0,4250.77,0,Legitimate Transaction,Low,0,1630.57,2025-01-21,912.0
2025-02-03,3801.57,Cash Withdrawal,3801.57,0.0,0,Legitimate Transaction,Low,0,4250.77,2025-02-28,-600.0
2025-03-02,1196.44,POS Purchase,1196.44,0.0,0,Legitimate Transaction,Low,1,3801.57,2025-02-03,648.0
2025-03-15,2574.24,Transfer,0.0,2574.24,0,Legitimate Transaction,Low,1,1196.44,2025-03-02,312.0
2025-02-11,4356.97,POS Purchase,0.0,4356.97,0,Legitimate Transaction,Low,0,2574.24,2025-03-15,-768.0
2025-02-27,868.01,Cash Withdrawal,0.0,868.01,0,Legitimate Transaction,Low,0,4356.97,2025-02-11,384.0
2025-02-18,1411.16,Bill Payment,0.0,1411.16,0,Legitimate Transaction,Low,0,868.01,2025-02-27,-216.0
2025-02-15,278.65,Bill Payment,278.65,0.0,0,Legitimate Transaction,Low,1,1411.16,2025-02-18,-72.0
2025-02-17,3449.73,POS Purchase,0.0,3449.73,0,Legitimate Transaction,Low,0,278.65,2025-02-15,48.0
2025-01-30,3771.84,Cash Withdrawal,0.0,3771.84,0,Legitimate Transaction,Low,0,3449.73,2025-02-17,-432.0
2025-03-26,1231.03,Transfer,0.0,1231.03,0,Legitimate Transaction,Low,0,3771.84,2025-01-30,1320.0
2025-01-20,61.74,POS Purchase,61.74,0.0,0,Legitimate Transaction,Low,0,1231.03,2025-03-26,-1560.0
2025-01-02,4081.11,Online Purchase,0.0,4081.11,0,Legitimate Transaction,Low,0,61.74,2025-01-20,-432.0
2025-02-25,550.98,Online Purchase,550.98,0.0,0,Legitimate Transaction,Low,0,4081.11,2025-01-02,1296.0
2025-03-18,2659.08,Cash Withdrawal,2659.08,0.0,0,Legitimate Transaction,Low,0,550.98,2025-02-25,504.0
2025-03-13,1402.74,POS Purchase,1402.74,0.0,0,Legitimate Transaction,Low,0,2659.08,2025-03-18,-120.0
2025-01-17,3772.01,Online Purchase,0.0,3772.01,0,Legitimate Transaction,Low,0,1402.74,2025-03-13,-1320.0
2025-01-19,678.2,Online Purchase,678.2,0.0,0,Legitimate Transaction,Low,1,3772.01,2025-01-17,48.0
